================= Perf Change Summary =================

----------------- Regressions -----------------

----------------- >= 2x slower -----------------
+------------+-----------+------------------+---------------------------------+---------+---------------------+--------------------+--------------------+-----------+-----------------+----------------+-------------------------+
|  Model ID  | Precision |    Component     |              Device             | Runtime | Prev Inference time | New Inference time |     Kx slower      |   Job ID  | Previous Job ID | Compile Job ID | Previous Compile Job ID |
|       resnet_2plus1d       |   float   |       ResNet-2Plus1D       |      Dragonwing IQ-9075 EVK     |  tflite |       2052.77       |      3772.093      | 1.8375624156627386 | jp49d83l5 |    jgd0jvmlp    |      null      |           null          |
|        resnet_mixed        |   w8a16   |  ResNet-Mixed-Convolution  | Dragonwing RB3 Gen 2 Vision Kit | qnn_dlc |       180.805       |      310.551       | 1.717601836232405  | j5md6ynq5 |    jpyn9418g    |      null      |           null          |
|         yolov8_obb         |    w8a8   |         YOLOv8-OBB         | Dragonwing RB3 Gen 2 Vision Kit | qnn_dlc |        3.602        |       5.466        | 1.5174902831760135 | jg9xw808g |    jgnxjomk5    |      null      |           null          |
|         yolov8_obb         |   w8a16   |         YOLOv8-OBB         | Dragonwing RB3 Gen 2 Vision Kit |   onnx  |        13.862       |       24.742       | 1.784879526763815  | jpelk2r7g |    j5wxj8w6p    |      null      |           null          |
|         yolov9_det         |   float   |      YOLOv9-Detection      |      Dragonwing IQ-9075 EVK     | qnn_dlc |        8.929        |       13.814       | 1.547093739500504  | jgjweq2e5 |    jpxmwyv1g    |      null      |           null          |
|         yolov9_det         |   w8a16   |      YOLOv9-Detection      |      Dragonwing IQ-9075 EVK     |   onnx  |       174.637       |      304.182       | 1.741795839369664  | jp84z18q5 |    jgomj37d5    |      null      |           null          |
|         yolov9_det         |   w8a16   |      YOLOv9-Detection      | Dragonwing RB3 Gen 2 Vision Kit |   onnx  |       393.423       |      605.283       | 1.5385043579048505 | j5md38v75 |    jp0knl8e5    |      null      |           null          |
|          edgetam           |    w8a8   |       memory_encoder       | Dragonwing RB3 Gen 2 Vision Kit |   onnx  |        19.691       |       37.167       | 1.887512061347824  | jgk9qr625 |    j576q01lg    |   jgk9741o5    |           null          |
+----------------------------+-----------+----------------------------+---------------------------------+---------+---------------------+--------------------+--------------------+-----------+-----------------+----------------+-------------------------+

----------------- Progressions -----------------

----------------- >= infx faster -----------------
+---------------------------+-------------------+---------------------------+---------------------------------+--------------------+---------------------+--------------------+-----------+-----------+-----------------+----------------+-------------------------+
|          Model ID         |     Precision     |         Component         |              Device             |      Runtime       | Prev Inference time | New Inference time | Kx faster |   Job ID  | Previous Job ID | Compile Job ID | Previous Compile Job ID |
+---------------------------+-------------------+---------------------------+---------------------------------+--------------------+---------------------+--------------------+-----------+-----------+-----------------+----------------+-------------------------+
| conditional_detr_resnet50 |  w8a16_mixed_fp16 | Conditional-DETR-ResNet50 |        Samsung Galaxy S26       |      qnn_dlc       |         -inf        |       16.478       |    inf    | jgk97zny5 |       null      |      null      |           null          |
| conditional_detr_resnet50 |  w8a16_mixed_fp16 | Conditional-DETR-ResNet50 |        Samsung Galaxy S24       |      qnn_dlc       |         -inf        |       26.754       |    inf    | jp2v086x5 |       null      |      null      |           null          |
| conditional_detr_resnet50 |  w8a16_mixed_fp16 | Conditional-DETR-ResNet50 |        Samsung Galaxy S25       |      qnn_dlc       |         -inf        |       19.654       |    inf    | jp0v3yq2g |       null      |      null      |           null          |
|       detr_resnet101      | w8a16_mixed_int16 |       DETR-ResNet101      |        Samsung Galaxy S26       |      qnn_dlc       |         -inf        |       16.863       |    inf    | jgn7mlkrp |       null      |      null      |           null          |
|       detr_resnet101      | w8a16_mixed_int16 |       DETR-ResNet101      |        Samsung Galaxy S24       |      qnn_dlc       |         -inf        |       29.283       |    inf    | jp1vwy62p |       null      |      null      |           null          |
|       detr_resnet101      | w8a16_mixed_int16 |       DETR-ResNet101      |        Samsung Galaxy S25       |      qnn_dlc       |         -inf        |       21.857       |    inf    | j577l09l5 |       null      |      null      |           null          |
|     detr_resnet101_dc5    |       float       |     DETR-ResNet101-DC5    |        Samsung Galaxy S26       |       tflite       |         -inf        |       22.257       |    inf    | j5md6k7q5 |       null      |      null      |           null          |
|       detr_resnet50       |  w8a16_mixed_fp16 |       DETR-ResNet50       |         QCS8550 (Proxy)         |      qnn_dlc       |         -inf        |       33.735       |    inf    | jg9xyy4qg |       null      |      null      |           null          |
|       detr_resnet50       |  w8a16_mixed_fp16 |       DETR-ResNet50       |        Samsung Galaxy S24       |      qnn_dlc       |         -inf        |       24.626       |    inf    | jgz4jjrzp |       null      |      null      |           null          |
|       detr_resnet50       |  w8a16_mixed_fp16 |       DETR-ResNet50       |        Samsung Galaxy S25       |      qnn_dlc       |         -inf        |       19.41        |    inf    | jp1vwwekp |       null      |      null      |           null          |
