================= Perf Change Summary =================

----------------- Regressions -----------------

----------------- >= 2x slower -----------------
+------------+-----------+------------------+---------------------------------+---------+---------------------+--------------------+--------------------+-----------+-----------------+----------------+-------------------------+
|  Model ID  | Precision |    Component     |              Device             | Runtime | Prev Inference time | New Inference time |     Kx slower      |   Job ID  | Previous Job ID | Compile Job ID | Previous Compile Job ID |
|        whisper_tiny       |       float       |          decoder          |      Dragonwing IQ-9075 EVK     |      voice_ai      |         -inf        |       3.024        |    inf    | jpelwdm7g |       null      |   jgl16w6j5    |           null          |
|        whisper_tiny       |       float       |          decoder          |        Samsung Galaxy S26       |      voice_ai      |         -inf        |       1.493        |    inf    | jpv9rkxz5 |       null      |   jgz4oz3kp    |           null          |
|         yolo_world        |       float       |          detector         |      Samsung Galaxy S22 5G      |       tflite       |         -inf        |      165.378       |    inf    | jpelk2dvg |       null      |   jprn8d175    |           null          |
|         yolo_world        |       float       |          detector         |      Dragonwing IQ-9075 EVK     |        onnx        |         -inf        |       108.96       |    inf    | jp49v8xq5 |       null      |   jgk970dn5    |           null          |
|         yolo_world        |        w8a8       |          detector         |      Dragonwing IQ-9075 EVK     |      qnn_dlc       |         -inf        |       101.05       |    inf    | jp84z8e85 |       null      |   jgk970yw5    |           null          |
|         yolo_world        |        w8a8       |          detector         |      Dragonwing IQ-9075 EVK     |       tflite       |         -inf        |      103.719       |    inf    | jp0vlkd2g |       null      |   j5770ndv5    |           null          |
|            sam2           |       float       |          encoder          |      Samsung Galaxy S22 5G      |       tflite       |         -inf        |       347.74       |    inf    | j5md3eey5 |       null      |   jp1vymjnp    |           null          |
|        whisper_base       |       float       |          encoder          |      Snapdragon X Elite CRD     |      voice_ai      |         -inf        |       49.048       |    inf    | jgk97zl25 |       null      |   jgdzezle5    |           null          |
|        whisper_base       |       float       |          encoder          |     Snapdragon X2 Elite CRD     |      voice_ai      |         -inf        |       22.719       |    inf    | j56de630p |       null      |   jgdzezlr5    |           null          |
|        whisper_base       |       float       |          encoder          |         QCS8550 (Proxy)         |      voice_ai      |         -inf        |       47.694       |    inf    | jp49kqj85 |       null      |   jp3wvw235    |           null          |
|        whisper_base       |       float       |          encoder          |      Samsung Galaxy S22 5G      |      voice_ai      |         -inf        |       95.46        |    inf    | jg9xjv3lg |       null      |   jp84049x5    |           null          |
|        whisper_base       |       float       |          encoder          |        Samsung Galaxy S24       |      voice_ai      |         -inf        |       35.932       |    inf    | jgdzewre5 |       null      |   jgl161z85    |           null          |
|        whisper_base       |       float       |          encoder          |        Samsung Galaxy S25       |      voice_ai      |         -inf        |       25.686       |    inf    | jprn8k495 |       null      |   jpv909oj5    |           null          |
|        whisper_base       |       float       |          encoder          |      Dragonwing IQ-9075 EVK     |      voice_ai      |         -inf        |       55.558       |    inf    | jp0v3ye9g |       null      |   jgjwzqnv5    |           null          |
|        whisper_base       |       float       |          encoder          |        Samsung Galaxy S26       |      voice_ai      |         -inf        |       22.075       |    inf    | jp0v3y16g |       null      |   jgz4o49kp    |           null          |
|   whisper_large_v3_turbo  |       float       |          encoder          |      Snapdragon X Elite CRD     |      voice_ai      |         -inf        |      627.112       |    inf    | j56dz2q7p |       null      |   jpxdn0rjg    |           null          |
|   whisper_large_v3_turbo  |       float       |          encoder          |     Snapdragon X2 Elite CRD     |      voice_ai      |         -inf        |      270.286       |    inf    | jgjw2dk85 |       null      |   jgl16wqe5    |           null          |
|   whisper_large_v3_turbo  |       float       |          encoder          |         QCS8550 (Proxy)         |      voice_ai      |         -inf        |      631.101       |    inf    | jprn26995 |       null      |   jgz4ozqzp    |           null          |
|   whisper_large_v3_turbo  |       float       |          encoder          |      Samsung Galaxy S22 5G      |      voice_ai      |         -inf        |      1304.556      |    inf    | jgdzqnrl5 |       null      |   jpv902275    |           null          |
|   whisper_large_v3_turbo  |       float       |          encoder          |        Samsung Galaxy S24       |      voice_ai      |         -inf        |      462.813       |    inf    | j5md6evq5 |       null      |   jgdze66k5    |           null          |
|   whisper_large_v3_turbo  |       float       |          encoder          |        Samsung Galaxy S25       |      voice_ai      |         -inf        |      407.063       |    inf    | jpy7jzv4p |       null      |   jp0v3o92g    |           null          |
|   whisper_large_v3_turbo  |       float       |          encoder          |      Dragonwing IQ-9075 EVK     |      voice_ai      |         -inf        |      752.716       |    inf    | jpy7jzn7p |       null      |   jg9xjo7vg    |           null          |
|   whisper_large_v3_turbo  |       float       |          encoder          |        Samsung Galaxy S26       |      voice_ai      |         -inf        |      269.277       |    inf    | jgk9qvro5 |       null      |   jpele6x7g    |           null          |
|       whisper_medium      |       float       |          encoder          |      Snapdragon X Elite CRD     |      voice_ai      |         -inf        |      369.093       |    inf    | jp49dr615 |       null      |   jgz4olvxp    |           null          |
|       whisper_medium      |       float       |          encoder          |     Snapdragon X2 Elite CRD     |      voice_ai      |         -inf        |      154.292       |    inf    | jprn23m75 |       null      |   j5770ev95    |           null          |
|       whisper_medium      |       float       |          encoder          |         QCS8550 (Proxy)         |      voice_ai      |         -inf        |      363.475       |    inf    | j5w136k4g |       null      |   jg9xjz88g    |           null          |
|       whisper_medium      |       float       |          encoder          |      Samsung Galaxy S22 5G      |      voice_ai      |         -inf        |      758.452       |    inf    | jprn23775 |       null      |   j5mdq0w95    |           null          |
|       whisper_medium      |       float       |          encoder          |      Samsung Galaxy S22 5G      | qnn_context_binary |         -inf        |      751.529       |    inf    | jp8409oq5 |       null      |   jpy7roz8p    |           null          |
|       whisper_medium      |       float       |          encoder          |        Samsung Galaxy S24       |      voice_ai      |         -inf        |       274.84       |    inf    | jp84myko5 |       null      |   jpy7ro4lp    |           null          |
|       whisper_medium      |       float       |          encoder          |        Samsung Galaxy S25       |      voice_ai      |         -inf        |      219.373       |    inf    | j56dz49yp |       null      |   j5qmel7og    |           null          |
|       whisper_medium      |       float       |          encoder          |      Dragonwing IQ-9075 EVK     |      voice_ai      |         -inf        |      438.164       |    inf    | jprn23rk5 |       null      |   j5770e6n5    |           null          |
|       whisper_medium      |       float       |          encoder          |        Samsung Galaxy S26       |      voice_ai      |         -inf        |      150.334       |    inf    | jgjw2n6e5 |       null      |   jgo4klek5    |           null          |
|       whisper_small       |       float       |          encoder          |      Snapdragon X Elite CRD     |      voice_ai      |         -inf        |      132.283       |    inf    | j56dzyr0p |       null      |   jgl16ywe5    |           null          |
|       whisper_small       |       float       |          encoder          |     Snapdragon X2 Elite CRD     |      voice_ai      |         -inf        |       60.507       |    inf    | jp2v9kv45 |       null      |   jpele767g    |           null          |
|       whisper_small       |       float       |          encoder          |         QCS8550 (Proxy)         |      voice_ai      |         -inf        |      129.513       |    inf    | jpelwd7og |       null      |   jp1vyn1kp    |           null          |
|       whisper_small       |       float       |          encoder          |      Samsung Galaxy S22 5G      |      voice_ai      |         -inf        |      274.748       |    inf    | jg9xyl3vg |       null      |   jpele777g    |           null          |
|       whisper_small       |       float       |          encoder          |        Samsung Galaxy S24       |      voice_ai      |         -inf        |       98.46        |    inf    | jgk9qer25 |       null      |   jp1vynnkp    |           null          |
|       whisper_small       |       float       |          encoder          |        Samsung Galaxy S25       |      voice_ai      |         -inf        |       70.388       |    inf    | jpxd6km1g |       null      |   jpxdnlljg    |           null          |
|       whisper_small       |       float       |          encoder          |      Dragonwing IQ-9075 EVK     |      voice_ai      |         -inf        |      155.191       |    inf    | j56dzy86p |       null      |   jprn8l7v5    |           null          |
|       whisper_small       |       float       |          encoder          |        Samsung Galaxy S26       |      voice_ai      |         -inf        |       57.851       |    inf    | j5w13e86g |       null      |   jpy7ro8rp    |           null          |
|        whisper_tiny       |       float       |          encoder          |      Snapdragon X Elite CRD     |      voice_ai      |         -inf        |       26.106       |    inf    | jgz4jdk4p |       null      |   jgdze6ne5    |           null          |
|        whisper_tiny       |       float       |          encoder          |     Snapdragon X2 Elite CRD     |      voice_ai      |         -inf        |       13.024       |    inf    | jgdzq1l65 |       null      |   j5mdq9ed5    |           null          |
|        whisper_tiny       |       float       |          encoder          |         QCS8550 (Proxy)         |      voice_ai      |         -inf        |       25.127       |    inf    | jgo4n2645 |       null      |   jpy7r8r8p    |           null          |
|        whisper_tiny       |       float       |          encoder          |      Samsung Galaxy S22 5G      |      voice_ai      |         -inf        |       44.094       |    inf    | j5md6x275 |       null      |   jg9xjollg    |           null          |
|        whisper_tiny       |       float       |          encoder          |        Samsung Galaxy S24       |      voice_ai      |         -inf        |       19.899       |    inf    | jpy7j3w0p |       null      |   j5mdq9nw5    |           null          |
|        whisper_tiny       |       float       |          encoder          |        Samsung Galaxy S25       |      voice_ai      |         -inf        |       15.383       |    inf    | j5qmrqoeg |       null      |   jpy7r817p    |           null          |
|        whisper_tiny       |       float       |          encoder          |      Dragonwing IQ-9075 EVK     |      voice_ai      |         -inf        |       29.354       |    inf    | jgjw2vn75 |       null      |   j5qme4eng    |           null          |
|        whisper_tiny       |       float       |          encoder          |        Samsung Galaxy S26       |      voice_ai      |         -inf        |        12.5        |    inf    | jgo4n6q15 |       null      |   jpv9026j5    |           null          |
|    detectron2_detection   |        w8a8       |     proposal_generator    |      Samsung Galaxy S22 5G      |       tflite       |         -inf        |       46.736       |    inf    | jp3w1vdn5 |       null      |   jp840jzk5    |           null          |
|    detectron2_detection   |        w8a8       |          roi_head         |      Samsung Galaxy S22 5G      |       tflite       |         -inf        |      851.947       |    inf    | jgo4nkxk5 |       null      |   jgk9763w5    |           null          |
|         yolo_world        |       float       |        text_encoder       |      Samsung Galaxy S22 5G      |       tflite       |         -inf        |      507.706       |    inf    | j5w1qxemg |       null      |   jgl1687m5    |           null          |
|         yolo_world        |       float       |        text_encoder       |      Dragonwing IQ-9075 EVK     |        onnx        |         -inf        |      284.047       |    inf    | jpxdym7jg |       null      |   j56demryp    |           null          |
|         yolo_world        |        w8a8       |        text_encoder       |      Dragonwing IQ-9075 EVK     |      qnn_dlc       |         -inf        |      172.914       |    inf    | j5qm3wlmg |       null      |   jp3wv7m35    |           null          |
|         yolo_world        |        w8a8       |        text_encoder       |      Dragonwing IQ-9075 EVK     |       tflite       |         -inf        |       80.937       |    inf    | jgk93doy5 |       null      |   jp49k4w85    |           null          |
+---------------------------+-------------------+---------------------------+---------------------------------+--------------------+---------------------+--------------------+-----------+-----------+-----------------+----------------+-------------------------+
----------------- >= 10x faster -----------------
+-----------+-----------+-----------+-------------------------+---------+---------------------+--------------------+--------------------+-----------+-----------------+----------------+-------------------------+
|  Model ID | Precision | Component |          Device         | Runtime | Prev Inference time | New Inference time |     Kx faster      |   Job ID  | Previous Job ID | Compile Job ID | Previous Compile Job ID |
+-----------+-----------+-----------+-------------------------+---------+---------------------+--------------------+--------------------+-----------+-----------------+----------------+-------------------------+
| crestereo |   float   | CREStereo |  Snapdragon X Elite CRD |   onnx  |      13237.424      |      211.061       | 62.71847475374418  | jprn248k5 |    jg98ro7mp    |      null      |           null          |
| crestereo |   float   | CREStereo |  Snapdragon X Elite CRD | qnn_dlc |       8026.947      |      209.682       | 38.28152631127136  | jgn7m90jp |    jgd0k6mzp    |      null      |           null          |
| crestereo |   float   | CREStereo | Snapdragon X2 Elite CRD |   onnx  |       1705.182      |       91.676       | 18.600091627034338 | jpy7j4r0p |    jp139okn5    |      null      |           null          |
| crestereo |   float   | CREStereo | Snapdragon X2 Elite CRD | qnn_dlc |       2763.679      |       90.738       | 30.457790561837378 | jp2v97x65 |    j5wxkyr4p    |      null      |           null          |
| crestereo |   float   | CREStereo |     QCS8550 (Proxy)     |   onnx  |       6053.112      |       206.27       | 29.345576186551607 | jp84m3mq5 |    j576mo1ng    |      null      |           null          |
| crestereo |   float   | CREStereo |     QCS8550 (Proxy)     | qnn_dlc |       5647.429      |      205.514       | 27.47953424097628  | j56dz3enp |    jp2j1oz65    |      null      |           null          |
| crestereo |   float   | CREStereo |     QCS8550 (Proxy)     |  tflite |       5054.19       |      214.732       | 23.537199858428178 | j5md6wn75 |    jp88njrop    |      null      |           null          |
| crestereo |   float   | CREStereo |  Samsung Galaxy S22 5G  |   onnx  |       5936.471      |      357.129       | 16.622763763234012 | jg9xy3jmg |    j56vxo9np    |      null      |           null          |
| crestereo |   float   | CREStereo |  Samsung Galaxy S22 5G  | qnn_dlc |       7045.308      |      358.307       | 19.662769636094186 | jgl120425 |    j5qwn41o5    |      null      |           null          |
| crestereo |   float   | CREStereo |    Samsung Galaxy S24   |   onnx  |       4818.812      |      146.939       | 32.79464267485147  | jgdzqre65 |    jgomxd715    |      null      |           null          |
| crestereo |   float   | CREStereo |    Samsung Galaxy S24   | qnn_dlc |       4840.298      |      149.943       | 32.280920082964855 | jgo4n1z15 |    jgl7dwqm5    |      null      |           null          |
| crestereo |   float   | CREStereo |    Samsung Galaxy S24   |  tflite |       4466.995      |       153.2        | 29.157930809399478 | jp1vwd47p |    j5m479k95    |      null      |           null          |
| crestereo |   float   | CREStereo |    Samsung Galaxy S25   |   onnx  |       3866.958      |      116.301       | 33.24956793148812  | jp49dxk25 |    jgj19361g    |      null      |           null          |
| crestereo |   float   | CREStereo |    Samsung Galaxy S25   | qnn_dlc |       3499.965      |      116.402       | 30.067911204274843 | jgz4jx24p |    jgomxd9k5    |      null      |           null          |
| crestereo |   float   | CREStereo |    Samsung Galaxy S25   |  tflite |       2875.056      |      122.971       | 23.379951370648364 | jgdzqrxz5 |    jgnx41qq5    |      null      |           null          |
| crestereo |   float   | CREStereo |  Dragonwing IQ-9075 EVK |   onnx  |       3843.146      |      312.554       | 12.295942461142717 | j5qmr7reg |    jpxmq088g    |      null      |           null          |
| crestereo |   float   | CREStereo |  Dragonwing IQ-9075 EVK | qnn_dlc |       7306.935      |      272.205       |  26.8435003030804  | jgo4n1k15 |    jp0kwo805    |      null      |           null          |
| crestereo |   float   | CREStereo |  Dragonwing IQ-9075 EVK |  tflite |       5679.714      |      281.095       | 20.205674238246853 | jp2v97k65 |    jgkd160np    |      null      |           null          |
| crestereo |   float   | CREStereo |    Samsung Galaxy S26   |   onnx  |       3689.841      |       88.465       | 41.70961397162719  | j5md6wq75 |    jgzw6zq4g    |      null      |           null          |
| crestereo |   float   | CREStereo |    Samsung Galaxy S26   | qnn_dlc |       2882.637      |       81.623       | 35.31647942369185  | jp49dxn25 |    jg98roq8p    |      null      |           null          |
| crestereo |   float   | CREStereo |    Samsung Galaxy S26   |  tflite |       1097.651      |       89.079       | 12.322219602824461 | j5w13de4g |    jpr9rxd7p    |      null      |           null          |
|  eyegaze  |   float   |  EyeGaze  |  Snapdragon X Elite CRD |   onnx  |        34.689       |       1.264        | 27.44382911392405  | jp49dqy15 |    j576mqlqg    |      null      |           null          |
|  eyegaze  |   float   |  EyeGaze  |  Snapdragon X Elite CRD | qnn_dlc |       133.191       |       1.186        | 112.3026981450253  | jp1vw0j7p |    j576mq2qg    |      null      |           null          |
|  eyegaze  |   float   |  EyeGaze  | Snapdragon X2 Elite CRD |   onnx  |        9.429        |       0.612        | 15.40686274509804  | jgn7m2zqp |    jgnx4j3v5    |      null      |           null          |
|  eyegaze  |   float   |  EyeGaze  | Snapdragon X2 Elite CRD | qnn_dlc |        9.645        |       0.716        | 13.470670391061452 | j577lz495 |    jgnx4jlv5    |      null      |           null          |
|  eyegaze  |   float   |  EyeGaze  |     QCS8550 (Proxy)     |   onnx  |        25.794       |       1.254        | 20.569377990430624 | jpy7jeolp |    jp0kwnl25    |      null      |           null          |
|  eyegaze  |   float   |  EyeGaze  |     QCS8550 (Proxy)     | qnn_dlc |        19.966       |       1.011        | 19.74876360039565  | jp2v98wq5 |    jgj19jz7g    |      null      |           null          |
|  eyegaze  |   float   |  EyeGaze  |     QCS8550 (Proxy)     |  tflite |        18.527       |       1.801        |  10.2870627429206  | jp84mo1o5 |    jpynl9zrg    |      null      |           null          |
|  eyegaze  |   float   |  EyeGaze  |  Samsung Galaxy S22 5G  |   onnx  |        35.285       |       1.731        | 20.384170999422295 | jp3w1kzn5 |    jp0kwn225    |      null      |           null          |
|  eyegaze  |   float   |  EyeGaze  |  Samsung Galaxy S22 5G  | qnn_dlc |        31.185       |       1.504        | 20.73470744680851  | jp3w1k9n5 |    j56vxk2vp    |      null      |           null          |
|  eyegaze  |   float   |  EyeGaze  |    Samsung Galaxy S24   |   onnx  |        22.483       |       0.872        | 25.783256880733944 | jpv9r3lr5 |    j56vxkzvp    |      null      |           null          |
|  eyegaze  |   float   |  EyeGaze  |    Samsung Galaxy S24   | qnn_dlc |        17.518       |       0.734        | 23.86648501362398  | jpv9r3dr5 |    jgomxjz45    |      null      |           null          |
|  eyegaze  |   float   |  EyeGaze  |    Samsung Galaxy S24   |  tflite |        17.083       |       1.264        | 13.51503164556962  | jg9xyvd8g |    j5wxkje4p    |      null      |           null          |
|  eyegaze  |   float   |  EyeGaze  |    Samsung Galaxy S25   |   onnx  |        20.13        |        0.69        | 29.17391304347826  | jgz4jelxp |    jpv48jr7p    |      null      |           null          |
|  eyegaze  |   float   |  EyeGaze  |    Samsung Galaxy S25   | qnn_dlc |        14.334       |       0.601        | 23.850249584026624 | jpelw9zvg |    jgj19jd7g    |      null      |           null          |
|  eyegaze  |   float   |  EyeGaze  |    Samsung Galaxy S25   |  tflite |        11.867       |       1.102        | 10.768602540834845 | jgdzqw2z5 |    jp139r4n5    |      null      |           null          |
|  eyegaze  |   float   |  EyeGaze  |  Dragonwing IQ-9075 EVK |   onnx  |        20.959       |        1.71        | 12.25672514619883  | jgl12nwm5 |    jp38dyex5    |      null      |           null          |
|  eyegaze  |   float   |  EyeGaze  |  Dragonwing IQ-9075 EVK | qnn_dlc |        66.986       |       1.469        |  45.5997277059224  | jp0v2yjng |    jg98r6jqp    |      null      |           null          |
|  eyegaze  |   float   |  EyeGaze  |    Samsung Galaxy S26   |   onnx  |        18.837       |       0.607        | 31.032948929159804 | jp1vw0n7p |    j5wxkj3zp    |      null      |           null          |
|  eyegaze  |   float   |  EyeGaze  |    Samsung Galaxy S26   | qnn_dlc |        12.238       |       0.549        | 22.29143897996357  | j5w13o7mg |    jg98r60qp    |      null      |           null          |
|  eyegaze  |   w8a16   |  EyeGaze  |    Samsung Galaxy S24   |   onnx  |        31.714       |       0.659        | 48.12443095599392  | jgjw2xwv5 |    jpr9rz9ep    |      null      |           null          |
|  eyegaze  |   w8a16   |  EyeGaze  |  Dragonwing IQ-9075 EVK |   onnx  |        41.028       |       1.138        | 36.05272407732865  | jgjw2xqe5 |    j5m47jow5    |      null      |           null          |
|  eyegaze  |   w8a16   |  EyeGaze  |    Samsung Galaxy S26   |   onnx  |        25.551       |       0.498        | 51.30722891566265  | j5md6rd95 |    j56vxkv7p    |      null      |           null          |
|  eyegaze  |   w8a16   |  EyeGaze  | Snapdragon X2 Elite CRD |   onnx  |        17.112       |       0.561        | 30.502673796791438 | jp84mo4o5 |    jgzw61w6g    |      null      |           null          |
|  eyegaze  |   w8a16   |  EyeGaze  |    Samsung Galaxy S25   |   onnx  |        27.884       |        0.55        | 50.698181818181816 | j5w13o13g |    jpynl9n4g    |      null      |           null          |
|  eyegaze  |   w8a16   |  EyeGaze  |  Snapdragon X Elite CRD |   onnx  |       103.196       |       1.013        | 101.87166831194473 | jpy7je7lp |    jgomxjmd5    |      null      |           null          |
|  eyegaze  |   w8a16   |  EyeGaze  |     QCS8550 (Proxy)     |   onnx  |        40.254       |       0.984        | 40.90853658536585  | jgo4ny8k5 |    j576mqklg    |      null      |           null          |
+-----------+-----------+-----------+-------------------------+---------+---------------------+--------------------+--------------------+-----------+-----------------+----------------+-------------------------+
----------------- >= 5x faster -----------------
+----------+-----------+-----------+------------------------+---------+---------------------+--------------------+-------------------+-----------+-----------------+----------------+-------------------------+
| Model ID | Precision | Component |         Device         | Runtime | Prev Inference time | New Inference time |     Kx faster     |   Job ID  | Previous Job ID | Compile Job ID | Previous Compile Job ID |
+----------+-----------+-----------+------------------------+---------+---------------------+--------------------+-------------------+-----------+-----------------+----------------+-------------------------+
| eyegaze  |   float   |  EyeGaze  | Samsung Galaxy S22 5G  |  tflite |        26.199       |       2.922        |  8.96611909650924 | j5w13o4mg |    jpe2qjd8p    |      null      |           null          |
| eyegaze  |   float   |  EyeGaze  | Dragonwing IQ-9075 EVK |  tflite |        25.249       |       2.804        | 9.004636233951498 | j5qmr8vog |    jp0kwn425    |      null      |           null          |
| eyegaze  |   float   |  EyeGaze  |   Samsung Galaxy S26   |  tflite |        6.287        |       0.949        | 6.624868282402529 | jp49dq315 |    jg98r6lqp    |      null      |           null          |
+----------+-----------+-----------+------------------------+---------+---------------------+--------------------+-------------------+-----------+-----------------+----------------+-------------------------+
----------------- >= 2x faster -----------------
+----------------------+-----------+--------------------------+---------------------------------+---------+---------------------+--------------------+--------------------+-----------+-----------------+----------------+-------------------------+
|       Model ID       | Precision |        Component         |              Device             | Runtime | Prev Inference time | New Inference time |     Kx faster      |   Job ID  | Previous Job ID | Compile Job ID | Previous Compile Job ID |
+----------------------+-----------+--------------------------+---------------------------------+---------+---------------------+--------------------+--------------------+-----------+-----------------+----------------+-------------------------+
|        pspnet        |   float   |          PSPNet          |      Dragonwing IQ-9075 EVK     |  tflite |       1760.848      |      646.334       | 2.7243623265989414 | jp0v2j2ng |    jpyn9drlg    |      null      |           null          |
|  real_esrgan_x4plus  |   float   |    Real-ESRGAN-x4plus    |     Snapdragon X2 Elite CRD     |   onnx  |       136.301       |       34.461       |  3.95522474681524  | j577x03n5 |    j5qwj2475    |      null      |           null          |
|     resnet_mixed     |   float   | ResNet-Mixed-Convolution |     Snapdragon X2 Elite CRD     |   onnx  |       135.845       |       37.826       | 3.591312853592767  | jp2v9nz65 |    jp48zxv1g    |      null      |           null          |
|     yolov10_det      |   float   |    YOLOv10-Detection     |     Snapdragon X2 Elite CRD     | qnn_dlc |        5.835        |        2.67        | 2.1853932584269664 | jp1ve6w7p |    jpxmw6mjg    |      null      |           null          |
|      yolov9_det      |   float   |     YOLOv9-Detection     |     Snapdragon X2 Elite CRD     | qnn_dlc |        7.579        |       3.452        | 2.195538818076477  | jpxdyxnlg |    jp0knln65    |      null      |           null          |
|        yolov7        |   w8a16   |         Yolo-v7          |     Snapdragon X2 Elite CRD     |   onnx  |        4.393        |       2.005        | 2.191022443890274  | jp84z3lk5 |    jgl7j3mj5    |      null      |           null          |
| detectron2_detection |    w8a8   |         roi_head         |      Dragonwing IQ-9075 EVK     |   onnx  |        39.542       |       19.426       | 2.035519406980336  | j5md6q275 |    j56vxj96p    |   jpv902wk5    |           null          |
|       deepbox        |   w8a16   |     vgg_3d_detection     | Dragonwing RB3 Gen 2 Vision Kit |   onnx  |       1129.959      |      350.959       | 3.219632492684331  | jgk9q44y5 |    j5wxkywjp    |   jp840k0x5    |           null          |
|       deepbox        |   w8a16   |     vgg_3d_detection     | Dragonwing RB3 Gen 2 Vision Kit | qnn_dlc |       1110.072      |      350.047       | 3.1712084377240766 | jp49d1j25 |    jgzw6lkzg    |   jgn7lwlrp    |           null          |
+----------------------+-----------+--------------------------+---------------------------------+---------+---------------------+--------------------+--------------------+-----------+-----------------+----------------+-------------------------+
----------------- >= 1.5x faster -----------------
+-----------------------------+-----------+-----------------------------+-------------------------+--------------------+---------------------+--------------------+--------------------+-----------+-----------------+----------------+-------------------------+
|           Model ID          | Precision |          Component          |          Device         |      Runtime       | Prev Inference time | New Inference time |     Kx faster      |   Job ID  | Previous Job ID | Compile Job ID | Previous Compile Job ID |
+-----------------------------+-----------+-----------------------------+-------------------------+--------------------+---------------------+--------------------+--------------------+-----------+-----------------+----------------+-------------------------+
|           ddcolor           |   float   |           DDColor           |  Dragonwing IQ-9075 EVK |       tflite       |       140.953       |       72.291       | 1.949800113430441  | jg9xyjwqg |    j56vkyw7p    |      null      |           null          |
| distil_bert_base_uncased_hf |   float   | Distil-Bert-Base-Uncased-Hf |  Samsung Galaxy S22 5G  |       tflite       |        37.261       |       21.691       | 1.7178092296344107 | jpelwk3vg |    j5wxkry3p    |      null      |           null          |
|  mobile_bert_uncased_google |   float   |  Mobile-Bert-Uncased-Google |  Samsung Galaxy S22 5G  |      qnn_dlc       |        45.329       |       29.792       | 1.521515843179377  | jgn7mnzvp |    jgkdj33np    |      null      |           null          |
|            nafssr           |   w8a16   |            NAFSSR           |  Dragonwing Q-6690 MTP  | qnn_context_binary |       1662.723      |      1090.376      | 1.5249079216710566 | jgz4jr24p |    jpynl0z0g    |      null      |           null          |
|      real_esrgan_x4plus     |   float   |      Real-ESRGAN-x4plus     | Snapdragon X2 Elite CRD |      qnn_dlc       |        53.833       |       34.487       | 1.5609650013048393 | j5qm3ekeg |    jgomjvl45    |      null      |           null          |
|        segformer_base       |   w8a16   |        Segformer-Base       |  Dragonwing IQ-9075 EVK |      qnn_dlc       |        33.911       |       20.443       | 1.6588074157413295 | j5qmrk87g |    jgomj29x5    |      null      |           null          |
|          yolo26_seg         |   float   |     YOLO26-Segmentation     |  Dragonwing IQ-9075 EVK |        onnx        |        14.502       |       9.234        | 1.5705003248862899 | jgk93dqv5 |    jpv4jzojp    |      null      |           null          |
|          yolov8_obb         |   float   |          YOLOv8-OBB         |  Dragonwing IQ-9075 EVK |      qnn_dlc       |        8.214        |       5.422        | 1.514939136849871  | jp1ve3enp |    j5wxj823p    |      null      |           null          |
|     detectron2_detection    |    w8a8   |      proposal_generator     |  Dragonwing IQ-9075 EVK |        onnx        |        17.866       |       11.687       | 1.5287071104646188 | jpxd6nj8g |    jgl7dz9j5    |   jgo4kd3q5    |           null          |
|     detectron2_detection    |    w8a8   |           roi_head          |  Dragonwing IQ-9075 EVK |      qnn_dlc       |        39.369       |       19.71        | 1.9974124809741247 | jp2v908q5 |    jgd0k94rp    |   jgl16w3j5    |           null          |
+-----------------------------+-----------+-----------------------------+-------------------------+--------------------+---------------------+--------------------+--------------------+-----------+-----------------+----------------+-------------------------+
----------------- NPU is not Primary Compute Unit -----------------
+------------------+------------------+------------------+---------+------------+------------+------------+--------------------+--------------+
|     Model ID     |    Precision     |    Component     | Runtime | CPU Layers | GPU Layers | NPU Layers | Same as last week? | # of Devices |
+------------------+------------------+------------------+---------+------------+------------+------------+--------------------+--------------+
|      bevdet      |      float       |      BEVDet      |   onnx  |    423     |     0      |     0      |        True        |      8       |
|      bevdet      |      float       |      BEVDet      |  tflite |    481     |     0      |     0      |        True        |      6       |
|      bevdet      | w8a16_mixed_fp16 |      BEVDet      |   onnx  |    975     |     0      |     0      |        True        |      5       |
|   centerpoint    |      float       |   CenterPoint    |  tflite |    123     |     0      |     0      |        True        |      6       |
|    crestereo     |      float       |    CREStereo     |  tflite |   12359    |     0      |     0      |        True        |      1       |
|   deepspeech2    |      float       |   DeepSpeech2    |  tflite |    318     |     0      |     0      |        True        |      6       |
|  distil_whisper  |      float       |     encoder      |  tflite |     8      |    1358    |     0      |        True        |      6       |
|     easyocr      |      float       |    recognizer    |  tflite |    135     |     0      |     0      |        True        |      4       |
|     easyocr      |       w8a8       |    recognizer    |  tflite |    144     |     0      |     0      |        True        |      8       |
|     eyegaze      |      w8a16       |     EyeGaze      |   onnx  |    1668    |     0      |     0      |        True        |      1       |
|       sam2       |       w8a8       |     encoder      |  tflite |    610     |     79     |     0      |        True        |      3       |
| statetransformer |      float       | StateTransformer |  tflite |    2730    |     0      |     0      |        True        |      5       |
+------------------+------------------+------------------+---------+------------+------------+------------+--------------------+--------------+
----------------- New Precisions -----------------
+--------------------+-----------+
|      Model ID      | Precision |
+--------------------+-----------+
|   convnext_tiny    |    w8a8   |
|     fastsam_s      |   w8a16   |
|     fastsam_x      |   w8a16   |
|   nafnet_deblur    |    w8a8   |
| rangenet_plus_plus |   w8a16   |
|    resnet_mixed    |    w8a8   |
|    sequencer2d     |    w8a8   |
|     yoloe_seg      |   w8a16   |
+--------------------+-----------+
----------------- New Devices -----------------
+---------------------------+-------------------+---------------------------+-------------------------+
